Original prediction,Ground truth,y,Sparsity thresholds,Fidelity to prediction,Fidelity to prediction (logit),Deviation to ground truth,GEF,Accuracy,Remove technique,Explainer
9.902213096618652,10.0,2.685251235961914,0.9983878472514737,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.99878801822806,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9990889488055994,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,9.902214050292969,1.0,-9.5367431640625e-07,0.0,-0.09778594970703125,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.0,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.0009110511944006583,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.001211981771940096,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.0016121527485263298,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.002144168144972869,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.002851248876019341,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.0037906173220366157,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.005037905171317081,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.006692850924284843,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.008886588719087929,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.01179083986420093,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.01562927004740705,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.020691112270087852,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.027346786796182854,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.03606453809916632,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.047425873177566746,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.062135633086429665,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.08101976866530786,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.10500058502026482,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.13503642292280232,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.1720128329357613,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.21657909576817586,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.26894142136999505,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.32865254651726983,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.39446751277941416,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.46434632916602836,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.5356536708339716,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.6055324872205854,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,1.221778154373169,0.6713474534827298,-8.680435180664062,0.0,-8.778221845626831,1.0,0.0,Mean,TGNNExplainer
9.902213096618652,10.0,2.0421767234802246,0.7310585786300048,-7.860036373138428,0.0,-7.957823276519775,1.0,0.0,Mean,TGNNExplainer
